,Record Year,Job Industry,Job Title,Experience Level,Education Level,Gender,Annual Salary,Monetary Compensation,Total Annual Salary,Age Group,Occupation Country,Occupation City,Race
282,2021,Education (Higher Education),Admin Assistant,Legendary Level,Master's degree,Non Binary,USD 52000,USD 0,USD 52000,Mid Life,United States,New York,Multiracial
284,2021,Transport or Logistics,Executive Administrator ,Veteran Level,High School,Female,USD 80000,USD 5000,USD 85000,Junior,United States,New York ,White
285,2021,Transport or Logistics,HR Business Partner,Experienced Level,Some college,Female,USD 56000,USD 0,USD 56000,Mid Life,United States,Joliet,White
286,2021,Engineering or Manufacturing,Product Support Representative,Veteran Level,College degree,Male,USD 47840,USD 2000,USD 49840,Experienced,United States,Shingle Springs,Multiracial
287,2021,Consulting,Senior Hazard Mitigation Manager,Veteran Level,Master's degree,Female,USD 150000,USD 20000,USD 170000,Experienced,Australia,Plant City,White
288,2021,Computing or Tech,Senior Manager of Customer Enablement,Veteran Level,Master's degree,Female,USD 150000,USD 0,USD 150000,Experienced,United States,Boston,White
289,2021,Environmental Consulting,Senior Consultant,Veteran Level,PhD,Female,USD 105000,USD 5000,USD 110000,Experienced,United States,Atlanta,White
290,2021,"Accounting, Banking & Finance",Equity Analyst,Junior Level,College degree,Female,USD 100000,USD 5000,USD 105000,Mid Life,United States,NYC,Asian or Asian American
291,2021,Engineering or Manufacturing,Project Manager-Tech Lead,Senior Level,Master's degree,Female,USD 97500,USD 8000,USD 105500,Junior,United States,Lisle,Asian or Asian American
292,2021,"Accounting, Banking & Finance",Operations,Legendary Level,College degree,Male,USD 100000,USD 50000,USD 150000,Mid Life,Australia,Dallas,White
293,2021,Health care,Senior Project Specialist,Veteran Level,College degree,Female,USD 125000,USD 0,USD 125000,Experienced,United States,Salem,White
294,2021,Government and Public Administration,Public Library Director,Senior Level,Master's degree,Female,USD 63000,USD 0,USD 63000,Junior,United States,Platteville,White
295,2021,Sales,Business Development Manager ,Experienced Level,College degree,Female,GBP 50000,GBP 50000,GBP 100000,Mid Life,United Kingdom,Remote (live in Nottingham),White
296,2021,Archaeology / Cultural Resource Management,Principal Investigator,Senior Level,Master's degree,Female,USD 79000,USD 1000,USD 80000,Junior,United States,Denver,White
297,2021,Museum,Museum Technician,Legendary Level,Master's degree,Male,USD 52000,USD 0,USD 52000,Mid Life,United States,Suitland,White
298,2021,Government and Public Administration,Economist,Legendary Level,Master's degree,Female,USD 109000,USD 3000,USD 112000,Mid Life,United States,Suitland,White
299,2021,Education (Higher Education),Associate professor,Veteran Level,PhD,Female,GBP 54000,GBP 0,GBP 54000,Experienced,United Kingdom,London,White
300,2021,Media & Digital,editor,Veteran Level,Master's degree,Female,USD 120000,USD 0,USD 120000,Experienced,United States,Atlanta,Black or African American
301,2021,Education (Higher Education),HR Adviser,Experienced Level,College degree,Female,GBP 40613,GBP 0,GBP 40613,Mid Life,United Kingdom,London,White
302,2021,Public library,Managing Librarian,Senior Level,Master's degree,Female,USD 70000,USD 2400,USD 72400,Junior,United States,New York,White
303,2021,Biotech,"Manager of cGMP Manufacturing, QA, and QC",Senior Level,College degree,Female,USD 110000,USD 2500,USD 112500,Junior,United States,Rockville,White
305,2021,Government and Public Administration,Office Administrator,Experienced Level,Some college,Female,CAD 58000,CAD 0,CAD 58000,Mid Life,Canada,Toronto,White
306,2021,"Accounting, Banking & Finance",Accountant ,Entry Level,College degree,Female,USD 45000,USD 0,USD 45000,Young,United States,Indianapolis ,White
307,2021,Government and Public Administration,Senior Director of Public Policy,Experienced Level,Master's degree,Female,USD 70000,USD 5000,USD 75000,Junior,United States,Boston,White
308,2021,Recruitment or HR,Talent Management Manager,Legendary Level,College degree,Male,USD 115000,USD 0,USD 115000,Mid Life,United States,Boston,White
309,2021,Transport or Logistics,Internal Communications Executive ,Junior Level,Master's degree,Female,EUR 32640,EUR 0,EUR 32640,Mid Life,Ireland,Dublin,White
310,2021,Agriculture or Forestry,Research assistant,Senior Level,Master's degree,Non Binary,USD 17000,USD 0,USD 17000,Junior,United States,North East,White
312,2021,Property or Construction,Accounting Manager,Expert Level,College degree,Female,USD 66000,USD 0,USD 66000,Senior,United States,Houston Area,White
313,2021,Engineering or Manufacturing,Quality Manager ,Veteran Level,College degree,Female,USD 80000,USD 4000,USD 84000,Experienced,United States,Pittsburgh ,White
315,2021,Law,Attorney,Junior Level,Master's degree,Female,USD 65000,USD 5000,USD 70000,Young,United States,Minneapolis,White
316,2021,Health care,RN,Legendary Level,Master's degree,Female,USD 110000,USD 10000,USD 120000,Retired,United States,Milwaukee,White
317,2021,"Accounting, Banking & Finance",Bookkeeper self-employed,Veteran Level,College degree,Female,USD 114400,USD 0,USD 114400,Junior,United States,Charlottesville,White
319,2021,Education (Higher Education),Assistant Director of Undergraduate Admissions,Legendary Level,College degree,Female,USD 58300,USD 0,USD 58300,Mid Life,Australia,Washington,White
321,2021,Computing or Tech,Software Engineer,Veteran Level,Master's degree,Other,USD 156000,USD 189000,USD 345000,Junior,United States,Metro Boston,Other or Prefer not to answer
322,2021,Computing or Tech,Agile Coach,Senior Level,College degree,Female,USD 130000,USD 13000,USD 143000,Experienced,United States,Twin cities metro area,White
324,2021,Education (Higher Education),Librarian ,Senior Level,Master's degree,Female,GBP 39000,GBP 0,GBP 39000,Mid Life,United Kingdom,London,White
325,2021,Computing or Tech,principle product marketing manager,Senior Level,College degree,Female,USD 126000,USD 15000,USD 141000,Junior,United States,Dallas,White
326,2021,Engineering or Manufacturing,Sr. Environmental Manager,Veteran Level,College degree,Male,USD 125000,USD 3500,USD 128500,Experienced,United States,Pittsburgh,White
327,2021,Nonprofits,Program Manager,Junior Level,PhD,Female,CAD 87000,CAD 0,CAD 87000,Mid Life,Canada,Toronto,Other or Prefer not to answer
329,2021,Nonprofits,Early Intervention developmental specialist,Senior Level,Master's degree,Male,USD 36000,USD 1000,USD 37000,Junior,United States,South Hadley,White
330,2021,Nonprofits,Grants coordinator,Experienced Level,Master's degree,Female,USD 55000,USD 0,USD 55000,Mid Life,United States,New York ,White
331,2021,"Marketing, Advertising & PR",Account Executive,Experienced Level,College degree,Female,USD 53500,USD 0,USD 53500,Mid Life,United States,Chicago,White
333,2021,Nonprofits,Associate Director of Annual Giving,Experienced Level,College degree,Female,USD 50000,USD 0,USD 50000,Mid Life,United States,Atlanta,White
334,2021,"Accounting, Banking & Finance",Cash Logistics Manager,Senior Level,Master's degree,Female,USD 57750,USD 5750,USD 63500,Mid Life,United States,Houston,White
336,2021,Nonprofits,Legislative Analyst,Experienced Level,College degree,Female,USD 65000,USD 0,USD 65000,Mid Life,United States,Sacramento,White
338,2021,Transport or Logistics,Technology Senior Business Analyst,Legendary Level,College degree,Female,USD 103000,USD 2000,USD 105000,Mid Life,United States,Dallas,White
339,2021,Education (Primary/Secondary),Principal Teacher,Veteran Level,College degree,Female,GBP 51000,GBP 0,GBP 51000,Experienced,United Kingdom,Edinburgh,White
340,2021,Nonprofits,Senior Marketing Specialist,Experienced Level,College degree,Female,USD 65000,USD 2700,USD 67700,Mid Life,Australia,Bellevue,White
341,2021,Engineering or Manufacturing,Assistant Archivist,Junior Level,Master's degree,Female,GBP 25000,GBP 1000,GBP 26000,Mid Life,Scotland,Glasgow,White
342,2021,Government and Public Administration,Strategic Advisor,Experienced Level,College degree,Female,CAD 93000,CAD 0,CAD 93000,Mid Life,Canada,Ottawa,White
343,2021,Education (Primary/Secondary),High School counselor ,Veteran Level,Master's degree,Female,USD 75000,USD 0,USD 75000,Junior,United States,Suwanee ,White
344,2021,Nonprofits,Service Manager ,Senior Level,College degree,Female,GBP 34500,GBP 0,GBP 34500,Junior,United Kingdom,Glasgow,White
345,2021,"Marketing, Advertising & PR",Developer,Legendary Level,College degree,Female,USD 72500,USD 3000,USD 75500,Young,United States,Chicago,White
346,2021,Agriculture or Forestry,"Group Leader, Crop Protection Environmental and Human Safety",Senior Level,College degree,Female,USD 86000,USD 1500,USD 87500,Junior,United States,Raleigh,White
347,2021,Property or Construction,Energy Specialist,Senior Level,College degree,Female,USD 75000,USD 5000,USD 80000,Mid Life,United States,St. Louis,White
349,2021,Social Work,Medical Social Worker,Experienced Level,Master's degree,Female,USD 63000,USD 0,USD 63000,Mid Life,United States,Chicago,White
350,2021,Public Library,Children's Librarian,Senior Level,Master's degree,Female,USD 39000,USD 0,USD 39000,Junior,United States,Dayton,White
351,2021,Education (Higher Education),Payroll Manager,Senior Level,College degree,Female,USD 105000,USD 0,USD 105000,Junior,United States,Fairfield,White
352,2021,Property or Construction,Shop Coordinator,Veteran Level,High School,Female,USD 53000,USD 6000,USD 59000,Experienced,Australia,Orlando,White
353,2021,Computing or Tech,Senior user experience researcher,Senior Level,PhD,Female,USD 179000,USD 130000,USD 309000,Junior,United States,New York city,White
354,2021,"Marketing, Advertising & PR",Freelance content writer/copy editor,Veteran Level,College degree,Female,USD 77000,USD 0,USD 77000,Junior,Australia,Manchester,White
355,2021,Media & Digital,Production Editor ,Senior Level,College degree,Female,USD 55000,USD 0,USD 55000,Junior,United States,New York ,White
356,2021,Computing or Tech,Salesforce Administrator ,Legendary Level,Master's degree,Other,USD 64200,USD 3000,USD 67200,Mid Life,United States,Madison,White
358,2021,Engineering or Manufacturing,Engineer,Legendary Level,College degree,Female,USD 92000,USD 2000,USD 94000,Mid Life,United States,DFW,Multiracial
359,2021,Government and Public Administration,Assistant General Counsel,Veteran Level,Master's degree,Female,USD 170000,USD 3000,USD 173000,Senior,United States,DC,White
361,2021,Health care,Pharmacist,Legendary Level,PhD,Female,USD 125000,USD 500,USD 125500,Mid Life,United States,Pittsburgh,White
362,2021,Computing or Tech,Technical Associate,Entry Level,College degree,Female,CAD 60000,CAD 6000,CAD 66000,Mid Life,Canada,Toronto,White
363,2021,"Accounting, Banking & Finance","IT Director, Project Management ",Expert Level,College degree,Male,USD 186000,USD 0,USD 186000,Senior,United States,Cherry Hill,White
364,2021,Sales,Administrative Assistant,Veteran Level,Some college,Female,CAD 49000,CAD 0,CAD 49000,Junior,Canada,Montreal,White
366,2021,"Accounting, Banking & Finance",Staff Accountant,Experienced Level,College degree,Male,USD 61800,USD 1000,USD 62800,Mid Life,United States,Cleveland,White
367,2021,"Accounting, Banking & Finance","SVP, risk management",Experienced Level,College degree,Female,USD 155000,USD 31000,USD 186000,Mid Life,United States,Fully Remote (Greater Boston),Asian or Asian American
368,2021,Art & Design,Product Coordinator,Senior Level,College degree,Female,USD 40000,USD 200,USD 40200,Junior,United States,Grand Rapids,White
369,2021,Education (Higher Education),Statistical Analyst,Experienced Level,Master's degree,Female,USD 71750,USD 0,USD 71750,Mid Life,United States,Philadelphia,White
372,2021,Computing or Tech,Program Manager,Veteran Level,College degree,Female,USD 157000,USD 0,USD 157000,Junior,United States,Denver,White
373,2021,"""Government Relations"" (Lobbying) ",Assistant ,Legendary Level,College degree,Female,USD 65000,USD 0,USD 65000,Junior,United States,New York City ,White
374,2021,Nonprofits,Senior research assistant,Junior Level,College degree,Female,USD 42120,USD 0,USD 42120,Mid Life,United States,East Hanover,White
375,2021,Business or Consulting,Research Associate,Legendary Level,Master's degree,Female,USD 65000,USD 5000,USD 70000,Mid Life,United States,District of Columbia,White
377,2021,Computing or Tech,Junior Project Manager,Experienced Level,College degree,Female,USD 86000,USD 3000,USD 89000,Junior,United States,Denver,White
378,2021,Computing or Tech,Business Analyst,Senior Level,College degree,Female,USD 85000,USD 7000,USD 92000,Junior,United States,Philadelphia ,White
380,2021,Computing or Tech,Software Development Project Manager,Veteran Level,Master's degree,Female,USD 104000,USD 0,USD 104000,Experienced,United States,New Orleans,White
381,2021,Computing or Tech,Human Resources Manager,Experienced Level,College degree,Female,USD 88000,USD 8800,USD 96800,Experienced,United States,Minneapolis,White
383,2021,Computing or Tech,Programmer Analyst 2,Experienced Level,College degree,Female,USD 65000,USD 3000,USD 68000,Mid Life,United States,Jefferson City,White
384,2021,Computing or Tech,Sr development Manager,Veteran Level,College degree,Male,USD 175000,USD 175000,USD 350000,Experienced,Australia,Denver,White
385,2021,Business or Consulting,Consultant,Experienced Level,Master's degree,Female,USD 134000,USD 3000,USD 137000,Mid Life,United States,Portland,White
386,2021,Hospitality & Events,Controller,Veteran Level,College degree,Female,USD 98500,USD 10000,USD 108500,Junior,United States,Naples,White
389,2021,Computing or Tech,Software Engineer,Senior Level,College degree,Female,USD 112000,USD 0,USD 112000,Junior,Australia,Melbourne,White
391,2021,Health care,Speech-Language Pathologist,Experienced Level,Master's degree,Female,USD 60000,USD 0,USD 60000,Mid Life,United States,Medina,White
394,2021,Government and Public Administration,Lead Planner,Legendary Level,Master's degree,Female,USD 57000,USD 0,USD 57000,Mid Life,United States,El Paso,White
395,2021,"Accounting, Banking & Finance",Internal Auditor ,Legendary Level,College degree,Female,USD 51000,USD 1500,USD 52500,Mid Life,United States,Lexington ,White
398,2021,Education (Higher Education),Assistant Professor,Junior Level,PhD,Female,USD 56000,USD 8000,USD 64000,Mid Life,United States,Milwaukee,White
399,2021,Nonprofits,Program Coordinator,Junior Level,College degree,Female,USD 39000,USD 0,USD 39000,Young,United States,"Washington, DC",White
400,2021,"Accounting, Banking & Finance",Billing & Accounts Receivable Coordinator ,Experienced Level,College degree,Female,USD 40000,USD 2000,USD 42000,Mid Life,United States,Canton,White
401,2021,Law,Paralegal,Experienced Level,College degree,Female,CAD 71500,CAD 1500,CAD 73000,Mid Life,Canada,Toronto,White
